0,0.0509,0.1504,0.3141,0.5193,0.7926
0,0.63,1.61,3.33,5.13,7.13
0,1.27,2.80,5.44,8.28,11.06
0,1.91,4.72,8.59,13.01,17.29
0,0.89,2.71,5.76,8.19,10.60
0,0.83,1.99,4.18,6.04,8.39
0,1.07,3.01,5.88,8.51,11.59
0,1.35,3.24,5.95,8.81,11.62
0,1.11,2.84,5.70,8.62,11.11
0,0.82,2.20,4.73,7.03,9.06
0,1.14,2.91,5.33,7.87,10.56
0,0.93,2.60,5.19,7.96,10.60
0,1.06,2.71,5.28,7.78,10.64
0,1.09,2.89,4.91,7.79,10.69
0,1.03,3.11,5.34,7.91,10.84
0,1.04,2.82,5.49,7.84,11.00
0,1.23,3.16,6.33,9.06,12.62
0,0.93,2.45,4.95,7.13,10.18
0,1.00,2.44,5.04,7.22,9.93
0,1.02,2.59,4.99,7.46,10.27
0,1.15,2.82,5.64,7.52,10.71
0,1.18,2.79,5.27,7.63,10.57
0,0.99,2.38,4.81,7.18,10.22
0,1.09,2.68,5.36,8.14,11.05
0,1.40,3.35,6.25,9.13,12.72
0,0.97,2.81,5.03,7.63,10.64
0,1.02,2.60,4.93,7.24,9.70
0,1.12,2.86,5.25,7.72,10.11
0,1.02,2.62,5.19,7.41,9.94
0,1.02,2.79,4.98,7.77,10.31
0,1.10,2.71,5.18,7.97,10.23
0,1.19,3.11,5.57,7.77,11.08
0,1.21,3.44,6.28,9.23,12.78
0,0.89,2.65,5.05,7.41,9.85
0,1.04,2.58,4.58,7.18,10.08
0,1.38,2.57,4.92,7.48,10.08
0,0.99,2.60,5.19,7.60,10.08
0,1.16,2.80,5.33,7.55,10.14
0,1.16,2.86,5.52,7.72,10.92
0,1.22,2.91,5.90,8.57,11.65
0,1.38,3.57,6.38,9.48,13.47
0,1.11,2.54,5.02,7.91,10.32
0,0.91,2.60,4.83,7.05,9.77
0,0.80,2.63,5.14,7.18,10.07
0,1.27,2.99,5.34,7.73,10.66
0,1.35,3.02,5.46,8.34,11.14
0,1.22,3.19,5.66,8.09,11.27
0,1.15,3.11,6.00,8.60,11.84
0,1.41,3.60,6.77,9.68,13.43
0,0.91,2.44,4.62,7.13,9.29
0,1.04,2.61,5.14,7.54,9.95
0,1.11,2.72,5.83,7.81,10.75
0,1.20,2.85,5.36,8.22,10.80
0,1.18,3.07,5.42,8.50,10.94
0,1.11,2.93,5.53,7.97,10.76
0,1.19,3.31,6.43,8.80,11.60
0,1.33,3.66,6.67,9.92,13.47
0,0.74,2.09,4.33,6.53,8.86
0,1.12,2.97,5.12,7.44,11.02
0,1.17,2.90,5.63,8.27,10.99
0,1.19,3.09,5.60,8.62,11.39
0,1.29,3.19,5.89,8.55,11.78
0,1.30,3.51,6.28,9.27,12.20
0,1.55,3.79,6.60,10.09,13.38
0,1.53,3.69,7.16,10.46,14.32
